ZICDFULLID,ICD_GROUP,ICD_GROUP_DESC,ZICD3CHARID,ICD3CHAR_DESC,SHORTDESC
A061,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Chronic intestinal amoebiasis
A062,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoebic nondysenteric colitis
A063,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoeboma of intestine
A064,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoebic liver abscess
A065,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoebic lung abscess
A066,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoebic brain abscess
A067,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Cutaneous amoebiasis
A068,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoebic infection of other sites
A069,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,"Amoebiasis, unspecified"
A07,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases
A070,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,Balantidiasis
A071,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,Giardiasis [lambliasis]
A072,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,Cryptosporidiosis
A073,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,Isosporiasis
A078,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,Other specified protozoal intestinal diseases
A079,A00-A09,"Intestinal infectious diseases
",A07,Other protozoal intestinal diseases,"Protozoal intestinal disease, unspecified"
A08,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,Viral and other specified intestinal infections
A080,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,Rotaviral enteritis
A081,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,Acute gastro-enteropathy due to Norwalk agent
A082,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,Adenoviral enteritis
A083,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,Other viral enteritis
A084,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,"Viral intestinal infection, unspecified"
A085,A00-A09,"Intestinal infectious diseases
",A08,Viral and other specified intestinal infections,Other specified intestinal infections
A09,A00-A09,"Intestinal infectious diseases
",A09,Diarrhoea and gastro-enteritis of presumed infectious origin,Diarrhoea and gastro-enteritis of presumed infectious origin
A15,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed"
A150,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A151,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis of lung, confirmed by culture only"
A152,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis of lung, confirmed histologically"
A153,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis of lung, confirmed by unspecified means"
A154,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A155,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A156,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,A15-A19,"Tuberculosis
",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A16,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A160,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis of lung, bacteriologically and histologically negative"
A161,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis of lung, bacteriological and histological examination not done"
A162,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,A15-A19,"Tuberculosis
",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A17,A15-A19,"Tuberculosis
",A17,Tuberculosis of nervous system,Tuberculosis of nervous system
A170,A15-A19,"Tuberculosis
",A17,Tuberculosis of nervous system,Tuberculous meningitis
A171,A15-A19,"Tuberculosis
",A17,Tuberculosis of nervous system,Meningeal tuberculoma
A178,A15-A19,"Tuberculosis
",A17,Tuberculosis of nervous system,Other tuberculosis of nervous system
A179,A15-A19,"Tuberculosis
",A17,Tuberculosis of nervous system,"Tuberculosis of nervous system, unspecified"
A18,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of other organs
A180,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of bones and joints
A181,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of genito-urinary system
A182,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculous peripheral lymphadenopathy
A183,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of skin and subcutaneous tissue
A185,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of eye
A186,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of ear
A187,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of adrenal glands
A188,A15-A19,"Tuberculosis
",A18,Tuberculosis of other organs,Tuberculosis of other specified organs
A19,A15-A19,"Tuberculosis
",A19,Miliary tuberculosis,Miliary tuberculosis
A190,A15-A19,"Tuberculosis
",A19,Miliary tuberculosis,Acute miliary tuberculosis of a single specified site
A191,A15-A19,"Tuberculosis
",A19,Miliary tuberculosis,Acute miliary tuberculosis of multiple sites
A192,A15-A19,"Tuberculosis
",A19,Miliary tuberculosis,"Acute miliary tuberculosis, unspecified"
A198,A15-A19,"Tuberculosis
",A19,Miliary tuberculosis,Other miliary tuberculosis
A199,A15-A19,"Tuberculosis
",A19,Miliary tuberculosis,"Miliary tuberculosis, unspecified"
A20,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Plague
A200,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Bubonic plague
A201,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Cellulocutaneous plague
A202,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Pneumonic plague
A203,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Plague meningitis
A207,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Septicaemic plague
A208,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,Other forms of plague
A209,A20-A28,"Certain zoonotic bacterial diseases
",A20,Plague,"Plague, unspecified"
A21,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Tularaemia
A210,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Ulceroglandular tularaemia
A211,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Oculoglandular tularaemia
A212,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Pulmonary tularaemia
A213,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Gastro-intestinal tularaemia
A217,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Generalised tularaemia
A218,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,Other forms of tularaemia
A219,A20-A28,"Certain zoonotic bacterial diseases
",A21,Tularaemia,"Tularaemia, unspecified"
A22,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,Anthrax
A220,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,Cutaneous anthrax
A221,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,Pulmonary anthrax
A222,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,Gastro-intestinal anthrax
A227,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,Anthrax septicaemia
A228,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,Other forms of anthrax
A229,A20-A28,"Certain zoonotic bacterial diseases
",A22,Anthrax,"Anthrax, unspecified"
A23,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,Brucellosis
A230,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,Brucellosis due to Brucella melitensis
A231,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,Brucellosis due to Brucella abortus
A232,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,Brucellosis due to Brucella suis
A233,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,Brucellosis due to Brucella canis
A238,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,Other brucellosis
A239,A20-A28,"Certain zoonotic bacterial diseases
",A23,Brucellosis,"Brucellosis, unspecified"
A24,A20-A28,"Certain zoonotic bacterial diseases
",A24,Glanders and melioidosis,Glanders and melioidosis
A240,A20-A28,"Certain zoonotic bacterial diseases
",A24,Glanders and melioidosis,Glanders
A241,A20-A28,"Certain zoonotic bacterial diseases
",A24,Glanders and melioidosis,Acute and fulminating melioidosis
A242,A20-A28,"Certain zoonotic bacterial diseases
",A24,Glanders and melioidosis,Subacute and chronic melioidosis
A243,A20-A28,"Certain zoonotic bacterial diseases
",A24,Glanders and melioidosis,Other melioidosis
A244,A20-A28,"Certain zoonotic bacterial diseases
",A24,Glanders and melioidosis,"Melioidosis, unspecified"
A25,A20-A28,"Certain zoonotic bacterial diseases
",A25,Rat-bite fevers,Rat-bite fevers
A250,A20-A28,"Certain zoonotic bacterial diseases
",A25,Rat-bite fevers,Spirillosis
A251,A20-A28,"Certain zoonotic bacterial diseases
",A25,Rat-bite fevers,Streptobacillosis
A259,A20-A28,"Certain zoonotic bacterial diseases
",A25,Rat-bite fevers,"Rat-bite fever, unspecified"
A26,A20-A28,"Certain zoonotic bacterial diseases
",A26,Erysipeloid,Erysipeloid
A260,A20-A28,"Certain zoonotic bacterial diseases
",A26,Erysipeloid,Cutaneous erysipeloid
A267,A20-A28,"Certain zoonotic bacterial diseases
",A26,Erysipeloid,Erysipelothrix septicaemia
A268,A20-A28,"Certain zoonotic bacterial diseases
",A26,Erysipeloid,Other forms of erysipeloid
A269,A20-A28,"Certain zoonotic bacterial diseases
",A26,Erysipeloid,"Erysipeloid, unspecified"
A27,A20-A28,"Certain zoonotic bacterial diseases
",A27,Leptospirosis,Leptospirosis
A270,A20-A28,"Certain zoonotic bacterial diseases
",A27,Leptospirosis,Leptospirosis icterohaemorrhagica
A278,A20-A28,"Certain zoonotic bacterial diseases
",A27,Leptospirosis,Other forms of leptospirosis
A279,A20-A28,"Certain zoonotic bacterial diseases
",A27,Leptospirosis,"Leptospirosis, unspecified"
A28,A20-A28,"Certain zoonotic bacterial diseases
",A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified"
A280,A20-A28,"Certain zoonotic bacterial diseases
",A28,"Other zoonotic bacterial diseases, not elsewhere classified",Pasteurellosis
A281,A20-A28,"Certain zoonotic bacterial diseases
",A28,"Other zoonotic bacterial diseases, not elsewhere classified",Cat-scratch disease
A282,A20-A28,"Certain zoonotic bacterial diseases
",A28,"Other zoonotic bacterial diseases, not elsewhere classified",Extraintestinal yersiniosis
A288,A20-A28,"Certain zoonotic bacterial diseases
",A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified"
A289,A20-A28,"Certain zoonotic bacterial diseases
",A28,"Other zoonotic bacterial diseases, not elsewhere classified","Zoonotic bacterial disease, unspecified"
A30,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Leprosy [Hansen's disease]
A300,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Indeterminate leprosy
A301,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Tuberculoid leprosy
A302,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Borderline tuberculoid leprosy
A303,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Borderline leprosy
A304,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Borderline lepromatous leprosy
A305,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Lepromatous leprosy
A308,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],Other forms of leprosy
A309,A30-A49,"Other bacterial diseases
",A30,Leprosy [Hansen's disease],"Leprosy, unspecified"
A31,A30-A49,"Other bacterial diseases
",A31,Infection due to other mycobacteria,Infection due to other mycobacteria
A310,A30-A49,"Other bacterial diseases
",A31,Infection due to other mycobacteria,Pulmonary mycobacterial infection
A311,A30-A49,"Other bacterial diseases
",A31,Infection due to other mycobacteria,Cutaneous mycobacterial infection
A318,A30-A49,"Other bacterial diseases
",A31,Infection due to other mycobacteria,Other mycobacterial infections
A319,A30-A49,"Other bacterial diseases
",A31,Infection due to other mycobacteria,"Mycobacterial infection, unspecified"
A32,A30-A49,"Other bacterial diseases
",A32,Listeriosis,Listeriosis
A320,A30-A49,"Other bacterial diseases
",A32,Listeriosis,Cutaneous listeriosis
A321,A30-A49,"Other bacterial diseases
",A32,Listeriosis,Listerial meningitis and meningoencephalitis
A327,A30-A49,"Other bacterial diseases
",A32,Listeriosis,Listerial septicaemia
A328,A30-A49,"Other bacterial diseases
",A32,Listeriosis,Other forms of listeriosis
A329,A30-A49,"Other bacterial diseases
",A32,Listeriosis,"Listeriosis, unspecified"
A33,A30-A49,"Other bacterial diseases
",A33,Tetanus neonatorum,Tetanus neonatorum
A34,A30-A49,"Other bacterial diseases
",A34,Obstetrical tetanus,Obstetrical tetanus
A35,A30-A49,"Other bacterial diseases
",A35,Other tetanus,Other tetanus
A36,A30-A49,"Other bacterial diseases
",A36,Diphtheria,Diphtheria
A360,A30-A49,"Other bacterial diseases
",A36,Diphtheria,Pharyngeal diphtheria
A361,A30-A49,"Other bacterial diseases
",A36,Diphtheria,Nasopharyngeal diphtheria
A362,A30-A49,"Other bacterial diseases
",A36,Diphtheria,Laryngeal diphtheria
A363,A30-A49,"Other bacterial diseases
",A36,Diphtheria,Cutaneous diphtheria
A368,A30-A49,"Other bacterial diseases
",A36,Diphtheria,Other diphtheria
A369,A30-A49,"Other bacterial diseases
",A36,Diphtheria,"Diphtheria, unspecified"
A37,A30-A49,"Other bacterial diseases
",A37,Whooping cough,Whooping cough
A370,A30-A49,"Other bacterial diseases
",A37,Whooping cough,Whooping cough due to Bordetella pertussis
A371,A30-A49,"Other bacterial diseases
",A37,Whooping cough,Whooping cough due to Bordetella parapertussis
A378,A30-A49,"Other bacterial diseases
",A37,Whooping cough,Whooping cough due to other Bordetella species
A379,A30-A49,"Other bacterial diseases
",A37,Whooping cough,"Whooping cough, unspecified"
A38,A30-A49,"Other bacterial diseases
",A38,Scarlet fever,Scarlet fever
A39,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Meningococcal infection
A390,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Meningococcal meningitis
A391,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Waterhouse-Friderichsen syndrome
A392,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Acute meningococcaemia
A393,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Chronic meningococcaemia
A394,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,"Meningococcaemia, unspecified"
A395,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Meningococcal heart disease
A398,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,Other meningococcal infections
A399,A30-A49,"Other bacterial diseases
",A39,Meningococcal infection,"Meningococcal infection, unspecified"
A40,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,Streptococcal septicaemia
A400,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,"Septicaemia due to streptococcus, group A"
A401,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,"Septicaemia due to streptococcus, group B"
A402,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,"Septicaemia due to streptococcus, group D"
A403,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,Septicaemia due to Streptococcus pneumoniae
A408,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,Other streptococcal septicaemia
A409,A30-A49,"Other bacterial diseases
",A40,Streptococcal septicaemia,"Streptococcal septicaemia, unspecified"
A41,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Other septicaemia
A410,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Septicaemia due to Staphylococcus aureus
A411,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Septicaemia due to other specified staphylococcus
A412,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Septicaemia due to unspecified staphylococcus
A413,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Septicaemia due to Haemophilus influenzae
A414,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Septicaemia due to anaerobes
A415,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Septicaemia due to other Gram-negative organisms
A418,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,Other specified septicaemia
A419,A30-A49,"Other bacterial diseases
",A41,Other septicaemia,"Septicaemia, unspecified"
A42,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,Actinomycosis
A420,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,Pulmonary actinomycosis
A421,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,Abdominal actinomycosis
A422,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,Cervicofacial actinomycosis
A427,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,Actinomycotic septicaemia
A428,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,Other forms of actinomycosis
A429,A30-A49,"Other bacterial diseases
",A42,Actinomycosis,"Actinomycosis, unspecified"
A43,A30-A49,"Other bacterial diseases
",A43,Nocardiosis,Nocardiosis
A430,A30-A49,"Other bacterial diseases
",A43,Nocardiosis,Pulmonary nocardiosis
A431,A30-A49,"Other bacterial diseases
",A43,Nocardiosis,Cutaneous nocardiosis
A438,A30-A49,"Other bacterial diseases
",A43,Nocardiosis,Other forms of nocardiosis
A439,A30-A49,"Other bacterial diseases
",A43,Nocardiosis,"Nocardiosis, unspecified"
A44,A30-A49,"Other bacterial diseases
",A44,Bartonellosis,Bartonellosis
A440,A30-A49,"Other bacterial diseases
",A44,Bartonellosis,Systemic bartonellosis
A441,A30-A49,"Other bacterial diseases
",A44,Bartonellosis,Cutaneous and mucocutaneous bartonellosis
A448,A30-A49,"Other bacterial diseases
",A44,Bartonellosis,Other forms of bartonellosis
A449,A30-A49,"Other bacterial diseases
",A44,Bartonellosis,"Bartonellosis, unspecified"
A46,A30-A49,"Other bacterial diseases
",A46,Erysipelas,Erysipelas
A48,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified","Other bacterial diseases, not elsewhere classified"
A480,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified",Gas gangrene
A481,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified",Legionnaires' disease
A482,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified",Nonpneumonic Legionnaires' disease [Pontiac fever]
A483,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified",Toxic shock syndrome
A484,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified",Brazilian purpuric fever
A488,A30-A49,"Other bacterial diseases
",A48,"Other bacterial diseases, not elsewhere classified",Other specified bacterial diseases
A49,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,Bacterial infection of unspecified site
A490,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,"Staphylococcal infection, unspecified"
A491,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,"Streptococcal infection, unspecified"
A492,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,"Haemophilus influenzae infection, unspecified"
A493,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,"Mycoplasma infection, unspecified"
A498,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,Other bacterial infections of unspecified site
A499,A30-A49,"Other bacterial diseases
",A49,Bacterial infection of unspecified site,"Bacterial infection, unspecified"
A50,A50-A64,"Infections with a predominantly sexual mode of transmission
",A50,Congenital syphilis,Congenital syphilis
A500,A50-A64,"Infections with a predominantly sexual mode of transmission
",A50,Congenital syphilis,"Early congenital syphilis, symptomatic"
A501,A50-A64,"Infections with a predominantly sexual mode of transmission
",A50,Congenital syphilis,"Early congenital syphilis, latent"
A502,A50-A64,"Infections with a predominantly sexual mode of transmission
",A50,Congenital syphilis,"Early congenital syphilis, unspecified"
A503,A50-A64,"Infections with a predominantly sexual mode of transmission
",A50,Congenital syphilis,Late congenital syphilitic oculopathy
